Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.566812001,-1.87586392,9.489454015,1.220857909,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227816,5.44268555,4.711561725,3.890126441,5.121277897,4.522919217,4.489896498,5.177026873,4.670156369,5.293294719,5.077287775,3.83312394,4.7395674,5.23953291,6.535944939,6.671904986,7.058599354,6.013789757,5.045124799,5.571788185,6.464379125,6.521458779,6.013605658,6.061059359,6.552639878,7.113478213,6.590249998,7.31941263,7.881915151,3.448017551,6.938679124,7.099828776,5.77511237,
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.90016186,2.334565592,3.430305914,3.396443622,2.683440741,4.207602003,6.054513839,10.94469206,-3.289882068,-9.117377096,-8.445355196,-7.272387966,-1.480214854,1.818011334,2.862019072,5.205392275,-14.11538049,3.789120192,-8.396091236,4.58722551,3.823704374,5.87193119,5.237153635,6.510425174,7.056349212,6.802588987,6.654387649,6.129558799,-3.347141367,1.555359635,2.09017527,0.748814897,-0.542751603,0.949448985,3.397553259,3.026628931,2.745926447,2.549464347,3.788850365,-3.215737434,7.780614814,4.038777583,1.886814839,
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,1.607142855,11.07205623,13.92405066,8.472222244,-8.83482715,30.47629744,13.01764962,3.862268599,3.469268027,2.580279266,-5.316697353,-7.556217712,6.3763768,5.003646045,-4.758268538,1.182993916,10.39900933,6.999991649,0.364007138,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,4.790002789,4.29999896,5.300070056,2.490948108,3.348550668,6.296441979,6.980960594,6.768997871,6.467000122,8.293960448,6.245010775,2.539885936,4.334299173,1.928157912,3.80302899,5.292622249,4.308856927,2.507872053,3.814993274,4.953835341,2.05258865,2.052877744,-5.911362952,4.350040917,5.981302822,2.980792767,
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.66709741,10.45197189,10.52405522,10.5015672,10.42559646,9.07192872,9.598113872,8.421763562,8.98166257,-5.649649504,1.626508741,-3.497335939,7.567568827,-16.75422908,-14.80312631,5.185184974,9.154929209,14.17952015,26.13929577,6.495281921,-9.226405081,6.698897747,3.597051867,14.17114864,4.829180105,1.797000233,2.984519339,2.309707662,6.727329807,-1.596249088,-4.181785023,-3.825582297,0.307806596,3.148915972,4.378752035,4.223530362,1.287753205,4.716798555,7.144103907,4.148419308,2.626009827,2.704956247,-1.264916676,0.882373745,3.396084205,2.516592217,1.446099912,-2.32364807,-4.175428056,1.538662487,0.613170736,2.997903207,-2.863309257,1.847260843,0.996758611,-0.961908777,2.799518639,2.62988986,-1.357265209,-21.42346307,15.40314894,10.7820132,2.639055981,
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.348024999,-6.43690771,-2.18134849,11.13196549,15.96830096,54.19930017,36.64112847,16.6163745,9.521570186,5.41431595,2.423313172,5.027444207,3.867138795,6.325266169,3.89717799,5.414003571,5.857126342,5.443831035,-3.00445593,0.86566926,0.959511247,-0.821836474,2.349856663,1.153851092,4.314750611,3.242255212,3.244100959,3.827499205,2.887343344,-3.015095148,7.38996234,4.226811011,2.211124472,
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.199995628,-9.60000129,-7.600001899,-11.70000384,-10.40000053,2.800004628,11.40000546,8.399991343,3.399999241,5.800003361,4.72530605,5.045267505,7.043192512,11.44974306,9.400001589,9.999994721,8.600006599,10.19999947,0.199995249,7.750017066,5.549974723,1.70785257,0.998719279,1.651124685,-3.829570558,-2.526446436,2.5321835,3.149197594,1.446455477,-0.672742951,2.438862124,-4.658395916,3.886242145,
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.89227701,4.892652265,4.956434177,4.999879812,4.930541008,4.770845184,4.913123209,7.36722545,5.106374705,4.807693394,3.95944112,10.21830376,5.351894106,13.55998522,3.592824377,-0.034020934,6.496594406,7.920807173,7.517021444,12.10874992,1.133297356,-0.106723586,-2.147435897,1.976198275,1.006423983,4.54738181,10.72695934,9.788480908,13.01084237,11.44649446,11.78067678,12.73104265,6.137999895,-0.019804922,0.732927252,1.106140308,4.235145386,3.890469749,9.424812536,12.24045958,4.993967755,5.397123855,9.666655654,4.780840488,2.219538842,4.511447376,3.353248291,-1.682116446,-0.389321468,1.114035787,-0.244543781,3.737775786,4.454326007,4.030845578,2.876183795,0.054551654,-1.812853541,1.11057125,4.267636896,-13.90291006,17.74617012,9.652977724,1.149016821,
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.679999967,4.470000048,1.069999994,11.10999999,4.760000016,14.36363633,13.27503978,2.105263143,3.436426117,6.312292338,3.437500021,1.812688809,1.483679526,0.877192976,3.768115968,8.938547463,5.897435894,1.45278452,2.147971345,7.943925246,2.380952372,-5.285412264,2.008928582,0.481400441,-2.003484328,6.666666668,3.749999996,4.056224899,0.443844088,0.019212285,-3.534382094,-0.059738214,3.008567124,0.599613367,4.39914833,2.600475429,4.600000843,3.900000094,3.38264702,9.317156411,7.222435538,-1.477790598,3.410706677,2.321267223,1.674206114,5.54386638,3.345139709,-1.865955826,-5.626697711,-2.502878289,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.306266735,-6.842869643,5.41909484,6.431133996,-0.094823593,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.089295942,5.578917862,6.797625769,3.956596531,4.913441955,7.170589663,6.317219517,8.529443088,4.474097329,5.231029304,5.063336439,7.96748521,5.739161526,2.939567808,7.311017731,4.614567486,4.971215657,2.052694566,0.133344048,-1.371772911,0.275616373,-3.938737925,-4.042121403,-0.200665697,-1.676389783,-2.573884201,2.46348462,2.90949796,3.790130962,4.635787428,5.266526668,1.646498183,4.269296117,4.667265103,4.678276597,4.361341952,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564384269,6.148497875,3.356999574,4.126722591,5.204092443,5.122275581,6.796011428,5.460569575,4.857187232,4.263920838,4.195206301,4.223623511,2.216705778,-8.737884434,6.111372752,3.605680383,3.081965241,
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.6,6.6,0.6,3.4,2.4,6.7,4.2,9.8,9.5,10.4,11.34292199,11.94034812,13.96872178,8.153938685,5.166649084,10.25712953,4.93432807,4.969897689,6.759560122,9.2,-4.25,0.83,-2.93,5.4,7.85,7.49,3.53,-0.06,3.16,-4.35,1.032189585,-0.54407205,4.924690004,5.852870362,4.223793634,2.20886405,3.394845986,0.338097901,0.467937566,4.387949447,1.389896401,3.053461859,1.140828998,5.759964637,3.202132061,3.961988711,6.069870607,5.094195447,-0.125812002,7.528225818,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796,4.762604379,3.016694354,2.908480487,
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.696529801,9.060758609,-5.07842108,5.004875755,11.43484349,4.003371242,10.63613615,6.921821329,7.518404795,9.509402991,3.912722439,1.273800672,1.340700424,-4.65084124,-1.900000003,4.36021101,3.642205758,4.876939311,7.893008143,4.373064812,-1.899751571,-4.900938478,0.501253133,3.600374065,1.098239807,5.104166667,2.590967011,3.50538228,3.6,-3.307593308,-3.899906828,-5.692520776,0.793067998,2.010782457,2.013998,3.976477177,4.740102343,3.728464901,0.334655429,4.447189623,-2.365464222,0.787401575,2.175480769,1.411598635,3.955457604,6.070545637,2.079183889,0.633461059,-5.017275959,-2.217710437,-0.731434559,-0.313311151,-1.010381846,0.082405478,-0.846098521,1.791930334,0.128446002,-1.174065094,0.652585418,-15.05436295,-0.25496588,17.83286303,4.09382011,
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,-0.645291579,20.87413983,9.934034846,7.019134261,24.33838869,-9.707960159,-22.384824,2.301529973,0.399377359,-2.376593675,-2.907244079,-5.407220318,2.083544224,-1.535863185,-2.726214425,2.643073566,2.910656207,-3.120618823,-0.633649832,0.992734654,1.347293823,-0.02731525,6.343945204,-6.657159467,4.260722449,3.47467625,1.466060511,3.961439117,3.583428926,0.10453844,-0.003925189,4.09841261,-3.763623476,-3.900710821,-1.900253862,2.741364335,3.744406387,0.913135324,-2.124783186,-2.507887216,-0.392383488,-2.477917765,1.328726513,0.052371054,3.868844164,1.133573406,-1.590762481,-1.62833154,1.407068323,
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,2.677100487,1.163257098,1.467089636,5.158264931,-3.307320698,8.954650284,7.90123455,7.126511958,4.790967348,5.008736163,15.12229484,3.439773852,10.43101594,4.556658993,4.028532999,11.3921976,29.05432385,4.76737302,7.355567319,10.38311791,-0.407875611,4.600891191,1.986366596,4.951503692,7.074117418,5.565172891,5.373838578,5.914030929,7.983971719,3.355068386,7.328374452,10.44377954,7.786560536,5.157257256,6.935071466,5.640805265,16.10478365,4.529448692,7.667492403,11.9318739,8.489258462,5.164820108,1.736340397,5.881085491,6.66080134,8.475943355,2.086845258,3.501871837,5.755148506,-10.21839741,4.421367402,5.213867811,,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.343283699,6.666667834,5.92104509,6.832300921,5.813955061,6.344019106,5.924559931,10.5670565,15.12340473,17.12026767,25.8211072,26.36194095,21.3031841,8.797795213,8.446250377,10.64737671,12.01204009,14.33280159,12.14858892,11.98690138,9.064857465,12.16553186,13.14672905,8.54538364,7.125271269,8.172924331,11.88192814,19.44996951,13.05940589,6.77282195,7.458709219,2.917070188,1.916107052,3.627916152,7.030410248,5.829800014,8.325890884,0.443663586,9.667240703,1.987695834,0.25057395,6.069530876,4.62589475,2.705821706,4.556645653,8.363871093,5.792555777,3.252072958,-14.14423462,10.12220912,6.838529748,-0.170900761,11.10282378,5.694777382,-4.85133564,7.204424759,4.114363663,4.188093554,3.032202574,-8.728752526,11.92063651,5.486028178,2.73379817,
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.953553798,-3.713800184,-0.707010752,2.080324599,0.947578712,0.64478372,4.676613109,1.404113177,7.091542528,2.332880877,1.130202384,-0.000867175,1.888939956,6.339033612,0.404987104,5.432518987,3.806234914,1.209235419,-2.465137785,-4.478638848,-1.544465665,7.715783631,-8.126513593,9.481726653,3.927219538,3.577979254,-4.938987885,1.710165285,1.977270435,-2.147528066,-0.552543005,-6.424078199,0.335275685,4.89994941,7.200045558,-4.000092964,5.299936018,4.700142379,3.599974904,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,8.587260426,4.630818432,4.194615337,5.053761254,-36.3919771,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593,3.1,0.899999997,0.982919996,0.502110003,0.870251451,
